p_id,name,price,colour,brand
17048614,Khushal K Women Black Ethnic Motifs Printed Kurta with Palazzos & With Dupatta,5099.0,Black,Khushal K
16524740,InWeave Women Orange Solid Kurta with Palazzos & Floral Print Dupatta,5899.0,Orange,InWeave
16331376,Anubhutee Women Navy Blue Ethnic Motifs Embroidered Thread Work Kurta with Trousers & With Dupatta,4899.0,Navy Blue,Anubhutee
14709966,Nayo Women Red Floral Printed Kurta With Trouser & Dupatta,3699.0,Red,Nayo
11056154,AHIKA Women Black & Green Printed Straight Kurta,1350.0,Black,AHIKA
18704418,Soch Women Red Thread Work Georgette Anarkali Kurta,3498.0,Red,Soch
14046594,Libas Women Navy Blue Pure Cotton Floral Print Kurta with Palazzos & Dupatta,3599.0,Navy Blue,Libas
14951330,Ahalyaa Women Beige Floral Printed Regular Gotta Patti Kurta with Palazzos & With Dupatta,6000.0,Beige,Ahalyaa
13791594,Anouk Women Yellow & White Printed Kurta with Palazzos,1999.0,Yellow,Anouk
17048604,Khushal K Women Green & Pink Printed Pure Cotton Kurta with Palazzos & Dupatta,5299.0,Green,Khushal K
10356859,Libas Floral Bliss Side Pocket Cotton Kurta Set,2499.0,Pink,Libas
12413214,Varanga Women Mustard Yellow Floral Yoke Embroidered Straight Kurta,1999.0,Mustard,Varanga
16600750,AHIKA Women Teal Ethnic Motifs Yoke Design Kurta with Trousers & With Dupatta,3748.0,Teal,AHIKA
9867983,Vishudh Women Navy Blue Floral Printed Regular Pure Cotton Kurta with Palazzos,2149.0,Navy Blue,Vishudh
14399798,Anouk Women Peach-Coloured Yoke Design Mirror-Work Kurta with Trousers & With Dupatta,3799.0,Peach,Anouk
18372852,SheWill Women Maroon Ethnic Motifs Yoke Design Thread Work Kurta with Trousers & With Dupatta,6699.0,Maroon,SheWill
15241816,Varanga Women Yellow & Peach-Coloured Floral Screen Printed Gotta Patti Straight Kurta,2799.0,Yellow,Varanga
10808284,AHIKA Floral Print Straight Cotton Kurta With Keyhole Neck,1198.0,Green,AHIKA
14376546,Anouk Women Black & Orange Bandhani Printed Kurta,1699.0,Black,Anouk
19240164,Charu Women Navy Blue Floral Embroidered Thread Work Kurta,3099.0,Navy Blue,Charu
15055304,Libas Women Blue Embroidered Panelled Kurta with Churidar & With Dupatta,4999.0,Blue,Libas
14649544,JAIPURI BUNAAI Women Blue & Orange Ethnic Motifs Printed Kurta With Trousers & Dupatta,3999.0,Blue,JAIPURI BUNAAI
17581924,KALINI Women Sea Green Floral Yoke Design Pleated Pure Cotton Top with Skirt & With Dupatta,3999.0,Sea Green,KALINI
13810898,Indo Era Women Blue & Green Printed Kurta with Palazzos & Dupatta,4599.0,Blue,Indo Era
15150620,Anouk Women Pink & Blue Ethnic Motifs Embroidered Kurta with Trousers & With Dupatta,3899.0,Pink,Anouk
19240246,TOULIN Women Teal Floral Panelled Kurta with Palazzos & With Dupatta,4299.0,Teal,TOULIN
12766966,Ishin Women Red & Orange Bandhani Print Anarkali Kurta,5399.0,Red,Ishin
14023594,Libas Women Maroon Printed Kurta with Palazzos & Dupatta,3999.0,Maroon,Libas
14346084,Nayo Women Pink & Off-White Floral Screen Print A-Line Pure Cotton Kurta Set With Dupatta,3699.0,Pink,Nayo
18829920,Virah Fashion Women Lime Green Embroidered Layered Thread Work Top with Sharara & With Dupatta,4999.0,Lime Green,Virah Fashion
11459658,Indo Era Folksy Floral Screen Print Cotton Kurta Set,4999.0,Burgundy,Indo Era
16522612,Kvsfab Women Pink Floral Embroidered Gotta Patti Kurta with Skirt & With Dupatta,6899.0,Pink,Kvsfab
15150642,Anouk Women Teal Blue & Pink Yoke Design Regular Kurta with Trousers & Dupatta,3899.0,Teal,Anouk
